,P,1G,2G,A,SH,SH%,SOG,GB,TO,TCH,PAS,GID,TID
LSM,,,,,,,,,,,,15,6
5,0,0,0,0,1,0%,1,3,0,9,8,15,6
Manley profile,,,,,,,,,,,,,
M. Manley,,,,,,,,,,,,,
D,,,,,,,,,,,,,
,,,,,,,,,,,,,
6,5,2,0,3,7,28.60%,5,3,2,33,24,16,2
McArdle profile,,,,,,,,,,,,16,2
K. McArdle,,,,,,,,,,,,16,2
A,,,,,,,,,,,,16,2
3,3,2,0,1,8,25%,5,3,0,23,15,16,2
Hannah profile,,,,,,,,,,,,16,2
J. Hannah,,,,,,,,,,,,16,2
M,,,,,,,,,,,,16,2
40,2,2,0,0,3,66.70%,2,0,0,23,20,16,2
Kelly profile,,,,,,,,,,,,16,2
C. Kelly,,,,,,,,,,,,16,2
M,,,,,,,,,,,,16,2
22,2,0,0,2,2,0%,1,0,3,34,29,16,2
Sowers profile,,,,,,,,,,,,16,2
M. Sowers,,,,,,,,,,,,16,2
A,,,,,,,,,,,,16,2
17,2,0,1,0,2,50%,2,3,1,6,3,16,2
Rees profile,,,,,,,,,,,,16,2
R. Rees,,,,,,,,,,,,16,2
LSM,,,,,,,,,,,,16,2
19,1,1,0,0,4,25%,3,0,0,21,17,16,2
Carraway profile,,,,,,,,,,,,16,2
J. Carraway,,,,,,,,,,,,16,2
M,,,,,,,,,,,,16,2
15,1,1,0,0,5,20%,2,2,3,27,19,16,2
Conrad profile,,,,,,,,,,,,16,2
R. Conrad,,,,,,,,,,,,16,2
M,,,,,,,,,,,,16,2
27,1,0,0,1,0,0%,0,1,0,7,7,16,2
Richard profile,,,,,,,,,,,,16,2
J. Richard,,,,,,,,,,,,16,2
SSDM,,,,,,,,,,,,16,2
77,0,0,0,0,2,0%,1,1,1,16,13,16,2
Currier profile,,,,,,,,,,,,16,2
Z. Currier,,,,,,,,,,,,16,2
M,,,,,,,,,,,,16,2
50,0,0,0,0,1,0%,0,1,0,5,4,16,2
Scarpello profile,,,,,,,,,,,,16,2
C. Scarpello,,,,,,,,,,,,16,2
SSDM,,,,,,,,,,,,16,2
44,0,0,0,0,1,0%,0,2,1,12,10,16,2
Randall profile,,,,,,,,,,,,16,2
B. Randall,,,,,,,,,,,,16,2
D,,,,,,,,,,,,16,2
57,0,0,0,0,3,0%,1,2,0,27,24,16,2
Walker profile,,,,,,,,,,,,16,2
E. Walker,,,,,,,,,,,,16,2
A,,,,,,,,,,,,16,2
33,0,0,0,0,1,0%,0,4,1,7,5,16,2
Whitcher profile,,,,,,,,,,,,16,2
M. Whitcher,,,,,,,,,,,,16,2
SSDM,,,,,,,,,,,,16,2
73,0,0,0,0,1,0%,0,3,0,3,2,16,2
Stathakis profile,,,,,,,,,,,,,
A. Stathakis,,,,,,,,,,,,,
FO,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,3,2,0,1,2,100%,2,2,0,9,7,16,5
Minicus profile,,,,,,,,,,,,16,5
B. Minicus,,,,,,,,,,,,16,5
A,,,,,,,,,,,,16,5
22,2,1,0,1,6,16.70%,3,2,3,27,18,16,5
Byrne profile,,,,,,,,,,,,16,5
J. Byrne,,,,,,,,,,,,16,5
A,,,,,,,,,,,,16,5
8,2,1,0,1,1,100%,1,0,1,27,25,16,5
Heningburg profile,,,,,,,,,,,,16,5
J. Heningburg,,,,,,,,,,,,16,5
A,,,,,,,,,,,,16,5
66,1,1,0,0,2,50%,1,1,2,19,15,16,5
Dobson profile,,,,,,,,,,,,16,5
E. Dobson,,,,,,,,,,,,16,5
M,,,,,,,,,,,,16,5
15,1,1,0,0,6,16.70%,2,2,1,31,24,16,5
Scott profile,,,,,,,,,,,,16,5
R. Scott,,,,,,,,,,,,16,5
A,,,,,,,,,,,,16,5
27,1,0,0,1,4,0%,2,1,1,20,15,16,5
Knobloch profile,,,,,,,,,,,,16,5
S. Knobloch,,,,,,,,,,,,16,5
M,,,,,,,,,,,,16,5
13,0,0,0,0,1,0%,0,2,0,6,5,16,5
Geddes profile,,,,,,,,,,,,16,5
Z. Geddes,,,,,,,,,,,,16,5
SSDM,,,,,,,,,,,,16,5
73,0,0,0,0,1,0%,1,5,0,4,3,16,5
Rowlett profile,,,,,,,,,,,,16,5
N. Rowlett,,,,,,,,,,,,16,5
FO,,,,,,,,,,,,16,5
10,0,0,0,0,1,0%,1,3,0,6,5,16,5
Reh profile,,,,,,,,,,,,16,5
T. Reh,,,,,,,,,,,,16,5
LSM,,,,,,,,,,,,16,5
1,0,0,0,0,2,0%,1,0,0,10,8,16,5
Jackson profile,,,,,,,,,,,,,5
K. Jackson,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
55,0,0,0,0,1,0%,1,2,0,14,13,16,5
MacKay profile,,,,,,,,,,,,,5
I. MacKay,,,,,,,,,,,,,5
SSDM,,,,,,,,,,,,,5
50,0,0,0,0,5,0%,3,0,2,12,5,16,5
Mayea profile,,,,,,,,,,,,,
B. Mayea,,,,,,,,,,,,,
A,,,,,,,,,,,,,
,,,,,,,,,,,,,
4,3,3,0,0,7,42.90%,4,0,1,37,29,17,8
Gray profile,,,,,,,,,,,,,8
C. Gray,,,,,,,,,,,,,8
A,,,,,,,,,,,,,8
3,3,1,0,2,8,12.50%,2,2,2,40,30,17,8
Pannell profile,,,,,,,,,,,,,8
R. Pannell,,,,,,,,,,,,,8
A,,,,,,,,,,,,,8
14,2,2,0,0,3,66.70%,3,1,0,14,11,17,8
Berg profile,,,,,,,,,,,,,8
W. Berg,,,,,,,,,,,,,8
A,,,,,,,,,,,,,8
50,2,1,0,1,6,16.70%,2,2,6,45,33,17,8
Garnsey profile,,,,,,,,,,,,,8
R. Garnsey,,,,,,,,,,,,,8
A,,,,,,,,,,,,,8
41,1,1,0,0,5,20%,4,0,3,23,15,17,8
Bertrand profile,,,,,,,,,,,,,8
C. Bertrand,,,,,,,,,,,,,8
M,,,,,,,,,,,,,8
28,1,1,0,0,1,100%,1,2,0,4,3,17,8
Conners profile,,,,,,,,,,,,,8
J. Conners,,,,,,,,,,,,,8
LSM,,,,,,,,,,,,,8
44,0,0,0,0,3,0%,0,1,0,16,13,17,8
Degnon profile,,,,,,,,,,,,,8
G. Degnon,,,,,,,,,,,,,8
M,,,,,,,,,,,,,8
1,0,0,0,0,1,0%,1,1,0,9,8,17,8
Montgomery profile,,,,,,,,,,,,,8
N. Montgomery,,,,,,,,,,,,,8
M,,,,,,,,,,,,,8
45,0,0,0,0,1,0%,0,1,0,4,3,17,8
Miezan profile,,,,,,,,,,,,,8
R. Miezan,,,,,,,,,,,,,8
SSDM,,,,,,,,,,,,,8
5,0,0,0,0,3,0%,2,0,0,16,13,17,8
Dennis profile,,,,,,,,,,,,,
R. Dennis,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,4,4,0,0,8,50%,7,1,2,37,27,17,3
Holman profile,,,,,,,,,,,,,3
M. Holman,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
32,4,1,0,3,4,25%,1,2,0,38,34,17,3
Nolting profile,,,,,,,,,,,,,3
A. Nolting,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
43,2,1,0,1,2,50%,1,0,1,8,5,17,3
Trainor profile,,,,,,,,,,,,,3
J. Trainor,,,,,,,,,,,,,3
SSDM,,,,,,,,,,,,,3
19,1,1,0,0,4,25%,1,0,1,10,5,17,3
Vardaro profile,,,,,,,,,,,,,3
A. Vardaro,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
50,1,0,0,1,3,0%,0,1,3,25,19,17,3
Kavanagh profile,,,,,,,,,,,,,3
M. Kavanagh,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
34,0,0,0,0,3,0%,2,1,0,14,11,17,3
Kirst profile,,,,,,,,,,,,,3
C. Kirst,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
35,0,0,0,0,1,0%,1,3,0,9,8,17,3
Rall profile,,,,,,,,,,,,,3
E. Rall,,,,,,,,,,,,,3
LSM,,,,,,,,,,,,,3
20,0,0,0,0,4,0%,1,1,0,27,23,17,3
Campbell profile,,,,,,,,,,,,,3
M. Campbell,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
2,0,0,0,0,2,0%,1,0,0,8,6,17,3
Fairman profile,,,,,,,,,,,,,3
B. Fairman,,,,,,,,,,,,,3
SSDM,,,,,,,,,,,,,3
4,0,0,0,0,2,0%,1,4,0,4,2,17,3
Tucci profile,,,,,,,,,,,,,3
Z. Tucci,,,,,,,,,,,,,3
FO,,,,,,,,,,,,,3
77,0,0,0,0,2,0%,1,3,1,14,11,17,3
van Raaphorst profile,,,,,,,,,,,,,3
C. van Raaphorst,,,,,,,,,,,,,3
D,,,,,,,,,,,,,3
22,0,0,0,0,2,0%,1,0,1,25,22,17,3
Drenner profile,,,,,,,,,,,,,3
R. Drenner,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
3,0,0,0,0,4,0%,2,0,2,31,25,17,3
Aslanian profile,,,,,,,,,,,,,
C. Aslanian,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
40,2,2,0,0,7,28.60%,3,2,1,14,6,18,6
Gergar profile,,,,,,,,,,,,,6
D. Gergar,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
21,2,1,0,1,4,25%,3,1,3,16,9,18,6
Anderson profile,,,,,,,,,,,,,6
J. Anderson,,,,,,,,,,,,,6
SSDM,,,,,,,,,,,,,6
22,1,1,0,0,3,33.30%,3,0,0,9,6,18,6
Ferrara profile,,,,,,,,,,,,,6
C. Ferrara,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
26,1,0,0,1,5,0%,4,0,1,18,12,18,6
Handley profile,,,,,,,,,,,,,6
S. Handley,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
36,1,0,0,1,0,0%,0,2,0,8,8,18,6
Bernhardt profile,,,,,,,,,,,,,6
J. Bernhardt,,,,,,,,,,,,,6
D,,,,,,,,,,,,,6
8,0,0,0,0,1,0%,0,1,0,3,2,18,6
Grill profile,,,,,,,,,,,,,6
N. Grill,,,,,,,,,,,,,6
LSM,,,,,,,,,,,,,6
24,0,0,0,0,1,0%,1,1,0,12,11,18,6
McElroy profile,,,,,,,,,,,,,6
O. McElroy,,,,,,,,,,,,,6
G,,,,,,,,,,,,,6
11,0,0,0,0,2,0%,1,0,2,8,4,18,6
Young profile,,,,,,,,,,,,,6
D. Young,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
7,0,0,0,0,7,0%,3,0,3,19,9,18,6
Bundy profile,,,,,,,,,,,,,6
G. Bundy,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
42,0,0,0,0,2,0%,1,0,0,7,5,18,6
O'Neill profile,,,,,,,,,,,,,6
B. O'Neill,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
79,0,0,0,0,2,0%,2,4,1,17,14,18,6
Zawada profile,,,,,,,,,,,,,6
J. Zawada,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
88,0,0,0,0,1,0%,1,2,0,7,6,18,6
Piseno profile,,,,,,,,,,,,,6
J. Piseno,,,,,,,,,,,,,6
LSM,,,,,,,,,,,,,6
52,0,0,0,0,2,0%,0,7,0,11,9,18,6
Wierman profile,,,,,,,,,,,,,6
L. Wierman,,,,,,,,,,,,,6
FO,,,,,,,,,,,,,6
5,0,0,0,0,2,0%,0,0,0,5,3,18,6
Manley profile,,,,,,,,,,,,,
M. Manley,,,,,,,,,,,,,
D,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,9,6,0,3,9,66.70%,8,5,0,41,32,18,4
Teat profile,,,,,,,,,,,,,4
J. Teat,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
26,4,1,0,3,7,14.30%,4,2,2,31,22,18,4
Costabile profile,,,,,,,,,,,,,4
B. Costabile,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
10,3,3,0,0,5,60%,4,1,3,12,4,18,4
Dickson profile,,,,,,,,,,,,,4
X. Dickson,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
1,3,2,0,1,5,40%,2,0,2,36,29,18,4
Shellenberger profile,,,,,,,,,,,,,4
C. Shellenberger,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
9,2,2,0,0,2,100%,2,4,0,6,4,18,4
Baptiste profile,,,,,,,,,,,,,4
T. Baptiste,,,,,,,,,,,,,4
FO,,,,,,,,,,,,,4
6,2,1,0,1,3,33.30%,1,1,2,28,23,18,4
Aitken profile,,,,,,,,,,,,,4
D. Aitken,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
14,1,1,0,0,3,33.30%,1,0,0,13,10,18,4
Stevens profile,,,,,,,,,,,,,4
J. Stevens,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
34,1,1,0,0,2,50%,2,0,0,4,2,18,4
Rezanka profile,,,,,,,,,,,,,4
P. Rezanka,,,,,,,,,,,,,4
SSDM,,,,,,,,,,,,,4
88,1,0,0,1,1,0%,0,0,1,20,18,18,4
Jacoby profile,,,,,,,,,,,,,4
R. Jacoby,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
0,1,0,0,1,0,0%,0,1,0,3,3,18,4
Smith profile,,,,,,,,,,,,,4
K. Smith,,,,,,,,,,,,,4
LSM,,,,,,,,,,,,,4
43,1,0,0,1,1,0%,1,3,1,14,12,18,4
Makar profile,,,,,,,,,,,,,4
B. Makar,,,,,,,,,,,,,4
D,,,,,,,,,,,,,4
5,0,0,0,0,1,0%,0,6,1,8,6,18,4
Carpenter profile,,,,,,,,,,,,,4
T. Carpenter,,,,,,,,,,,,,4
LSM,,,,,,,,,,,,,4
8,0,0,0,0,3,0%,2,1,3,20,14,18,4
Jones profile,,,,,,,,,,,,,
M. Jones,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,4,4,0,0,9,44.40%,5,5,2,29,18,19,1
O'Keefe profile,,,,,,,,,,,,,1
M. O'Keefe,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
44,4,2,1,0,4,75%,4,1,0,11,7,19,1
Leclaire profile,,,,,,,,,,,,,1
T. Leclaire,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
5,3,3,0,0,7,42.90%,6,0,2,29,20,19,1
Fields profile,,,,,,,,,,,,,1
C. Fields,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
16,3,1,0,2,4,25%,2,0,2,21,15,19,1
Ament profile,,,,,,,,,,,,,1
G. Ament,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
11,2,2,0,0,6,33.30%,2,2,1,25,18,19,1
Moore profile,,,,,,,,,,,,,1
M. Moore,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
54,1,1,0,0,1,100%,1,2,0,14,13,19,1
Bond profile,,,,,,,,,,,,,1
P. Bond,,,,,,,,,,,,,1
SSDM,,,,,,,,,,,,,1
51,1,1,0,0,2,50%,2,0,1,6,3,19,1
Williams profile,,,,,,,,,,,,,1
D. Williams,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
26,1,0,0,1,5,0%,1,0,2,22,15,19,1
Schreiber profile,,,,,,,,,,,,,1
T. Schreiber,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
13,0,0,0,0,2,0%,1,0,2,12,8,19,1
Ambler profile,,,,,,,,,,,,,1
R. Ambler,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
45,0,0,0,0,1,0%,1,3,0,14,13,19,1
Dobson profile,,,,,,,,,,,,,
B. Dobson,,,,,,,,,,,,,
G,,,,,,,,,,,,,
,,,,,,,,,,,,,
36,5,4,0,1,13,30.80%,9,1,1,29,15,19,7
Williams profile,,,,,,,,,,,,,7
Z. Williams,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
7,4,2,0,2,8,25%,4,2,2,35,25,19,7
Malone profile,,,,,,,,,,,,,7
TJ Malone,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
24,3,1,0,2,6,16.70%,3,1,0,28,22,19,7
Anderson profile,,,,,,,,,,,,,7
L. Anderson,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
9,2,2,0,0,6,33.30%,5,1,2,30,22,19,7
Rambo profile,,,,,,,,,,,,,7
M. Rambo,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
51,2,1,0,1,4,25%,2,1,2,18,12,19,7
Poitras profile,,,,,,,,,,,,,7
A. Poitras,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
83,1,1,0,0,1,100%,1,0,0,5,4,19,7
Bernhardt profile,,,,,,,,,,,,,7
J. Bernhardt,,,,,,,,,,,,,7
SSDM,,,,,,,,,,,,,7
33,1,0,0,1,0,0%,0,0,0,5,5,19,7
Dunn profile,,,,,,,,,,,,,7
M. Dunn,,,,,,,,,,,,,7
D,,,,,,,,,,,,,7
1,1,0,0,1,4,0%,3,2,1,30,25,19,7
Chanenchuk profile,,,,,,,,,,,,,7
M. Chanenchuk,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
15,0,0,0,0,1,0%,1,6,0,13,12,19,7
Koras profile,,,,,,,,,,,,,7
J. Koras,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
48,0,0,0,0,3,0%,2,0,3,9,3,19,7
Winkoff profile,,,,,,,,,,,,,
K. Winkoff,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
6,5,4,0,1,9,44.40%,6,3,3,40,28,20,2
McArdle profile,,,,,,,,,,,,20,2
K. McArdle,,,,,,,,,,,,20,2
A,,,,,,,,,,,,20,2
22,5,3,0,2,9,33.30%,7,1,0,30,21,20,2
Sowers profile,,,,,,,,,,,,20,2
M. Sowers,,,,,,,,,,,,20,2
A,,,,,,,,,,,,20,2
3,2,2,0,0,9,22.20%,4,0,1,21,11,20,2
Hannah profile,,,,,,,,,,,,20,2
J. Hannah,,,,,,,,,,,,20,2
M,,,,,,,,,,,,20,2
40,2,1,0,1,4,25%,3,0,0,24,20,20,2
Kelly profile,,,,,,,,,,,,20,2
C. Kelly,,,,,,,,,,,,20,2
M,,,,,,,,,,,,20,2
77,0,0,0,0,3,0%,1,4,2,27,22,20,2
Currier profile,,,,,,,,,,,,20,2
Z. Currier,,,,,,,,,,,,20,2
M,,,,,,,,,,,,20,2
36,0,0,0,0,4,0%,2,0,0,18,14,20,2
Brandau profile,,,,,,,,,,,,20,2
M. Brandau,,,,,,,,,,,,20,2
A,,,,,,,,,,,,20,2
57,0,0,0,0,1,0%,0,1,0,33,32,20,2
Walker profile,,,,,,,,,,,,20,2
E. Walker,,,,,,,,,,,,20,2
A,,,,,,,,,,,,20,2
15,0,0,0,0,5,0%,2,0,1,16,10,20,2
Conrad profile,,,,,,,,,,,,,
R. Conrad,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
50,5,2,1,1,8,37.50%,5,2,2,22,12,20,3
Kavanagh profile,,,,,,,,,,,,20,3
M. Kavanagh,,,,,,,,,,,,20,3
A,,,,,,,,,,,,20,3
1,4,2,1,0,5,60%,4,4,1,32,26,20,3
Holman profile,,,,,,,,,,,,20,3
M. Holman,,,,,,,,,,,,20,3
A,,,,,,,,,,,,20,3
34,3,2,0,1,4,50%,4,0,1,15,10,20,3
Kirst profile,,,,,,,,,,,,20,3
C. Kirst,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
32,3,0,0,3,3,0%,2,0,2,23,18,20,3
Nolting profile,,,,,,,,,,,,20,3
A. Nolting,,,,,,,,,,,,20,3
A,,,,,,,,,,,,20,3
19,2,2,0,0,4,50%,4,1,2,15,9,20,3
Vardaro profile,,,,,,,,,,,,20,3
A. Vardaro,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
20,2,1,0,1,5,20%,4,1,0,21,16,20,3
Campbell profile,,,,,,,,,,,,20,3
M. Campbell,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
3,1,1,0,0,2,50%,1,0,0,14,12,20,3
Aslanian profile,,,,,,,,,,,,20,3
C. Aslanian,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
35,1,0,0,1,0,0%,0,4,0,5,5,20,3
Rall profile,,,,,,,,,,,,20,3
E. Rall,,,,,,,,,,,,20,3
LSM,,,,,,,,,,,,20,3
43,1,0,0,1,0,0%,0,1,0,7,7,20,3
Trainor profile,,,,,,,,,,,,20,3
J. Trainor,,,,,,,,,,,,20,3
SSDM,,,,,,,,,,,,20,3
22,1,0,0,1,2,0%,1,1,1,21,18,20,3
Drenner profile,,,,,,,,,,,,20,3
R. Drenner,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
2,0,0,0,0,1,0%,0,0,1,8,6,20,3
Fairman profile,,,,,,,,,,,,20,3
B. Fairman,,,,,,,,,,,,20,3
SSDM,,,,,,,,,,,,20,3
4,0,0,0,0,2,0%,0,8,1,7,4,20,3
Tucci profile,,,,,,,,,,,,20,3
Z. Tucci,,,,,,,,,,,,20,3
FO,,,,,,,,,,,,20,3
77,0,0,0,0,1,0%,0,0,1,3,1,20,3
van Raaphorst profile,,,,,,,,,,,,,
C. van Raaphorst,,,,,,,,,,,,,
D,,,,,,,,,,,,,